proposer_index,slot,declared_client
19705,447421,prysm
23708,579057,undecided
41713,591846,undecided
30991,478805,undecided
38612,636082,undecided
38704,221428,undecided
14741,649527,prysm
3638,54932,undecided
21072,322458,undecided
61434,521285,undecided
2345,520803,undecided
35683,612649,undecided
34712,639495,undecided
42680,541504,undecided
987,657094,undecided
11029,84433,undecided
7206,584613,undecided
7878,657317,undecided
52550,617456,undecided
3796,65388,undecided
46196,607642,undecided
36825,669165,undecided
747,336968,undecided
44458,589930,lighthouse
79269,650771,undecided
25619,657241,undecided
14118,665791,undecided
30351,654654,lighthouse
42001,651002,undecided
57431,608222,prysm
7973,624518,undecided
17799,541025,prysm
24535,606510,undecided
23704,602846,undecided
7055,70907,undecided
17866,445376,prysm
66441,651790,undecided
68934,621461,undecided
9606,485078,prysm
7231,574435,undecided
23228,496342,undecided
42716,515781,prysm
38155,652449,undecided
31064,395375,undecided
17315,426821,lighthouse
30228,561597,undecided
72558,666449,undecided
24391,611925,undecided
18016,611538,undecided
65901,555089,undecided
27024,625697,prysm
6061,604892,teku
635,534409,undecided
78041,631355,undecided
11679,594461,undecided
16576,398705,undecided
40796,652159,undecided
17938,596824,undecided
25171,502912,undecided
50044,532491,lighthouse
1428,484730,lighthouse
64972,491076,undecided
38393,447951,prysm
19399,658197,prysm
539,671450,undecided
39572,504313,prysm
20483,593336,lighthouse
11856,320114,undecided
76045,597735,undecided
29994,526951,undecided
50953,532322,undecided
46387,553688,undecided
16943,304941,undecided
3226,57285,undecided
9539,517435,undecided
39460,523032,prysm
69395,505793,undecided
15538,436354,undecided
64068,626797,prysm
24503,625341,undecided
11264,94688,undecided
14216,671348,undecided
65615,592523,teku
25048,648270,undecided
28037,614499,prysm
221,502033,undecided
32109,497635,undecided
4197,505140,lighthouse
3031,649501,undecided
13502,428270,undecided
49168,608263,prysm
47169,653247,undecided
11353,94032,undecided
29286,568861,undecided
7833,670993,undecided
57694,648817,undecided
53690,667703,lighthouse
15801,666415,lighthouse
18507,409459,prysm
17876,526059,prysm
23531,626544,undecided
23503,640258,undecided
2343,667724,undecided
18969,362263,prysm
37307,367349,undecided
40789,653822,undecided
67732,501738,undecided
44399,457604,undecided
5737,520142,teku
13554,228180,undecided
25176,524523,undecided
35193,347986,prysm
488,625187,undecided
21747,215068,lighthouse
14133,665931,undecided
21998,650849,prysm
35916,571728,undecided
307,489411,undecided
24743,671591,undecided
15672,414502,undecided
21117,367518,prysm
48658,622971,undecided
33680,596682,undecided
69924,570708,undecided
20185,328873,undecided
30519,162402,undecided
64265,664524,undecided
14444,472024,undecided
13453,472782,undecided
24264,297640,lighthouse
41815,671672,undecided
17462,376381,lighthouse
34781,563238,undecided
460,651666,undecided
11257,1317,undecided
18280,401482,lighthouse
41681,596397,undecided
13134,49878,undecided
59588,669092,undecided
18998,52867,undecided
28153,606728,prysm
33236,459316,undecided
19316,482810,prysm
6155,617442,teku
19845,526607,prysm
909,603756,undecided
27878,640203,prysm
7872,605800,undecided
33222,637532,undecided
16190,304942,undecided
5668,559201,teku
59480,595700,undecided
22404,57260,undecided
13938,652429,undecided
24882,660981,undecided
53722,384840,undecided
14703,571220,prysm
30204,633366,undecided
75596,584079,undecided
8942,641321,nimbus
33178,614859,undecided
13477,474101,undecided
20514,563460,lighthouse
14006,405214,undecided
14978,231179,teku
40540,628199,undecided
50660,583210,undecided
50848,662212,undecided
9805,49586,undecided
32032,650909,undecided
6815,79201,undecided
7638,653187,undecided
16657,640302,undecided
7398,651008,undecided
36278,573660,undecided
9133,57813,undecided
8558,434128,nimbus
5906,581836,teku
2118,369310,undecided
1744,375489,lighthouse
26853,371603,undecided
4863,599238,teku
3082,171494,undecided
27177,587312,prysm
48692,649753,undecided
37851,611408,undecided
24488,528949,undecided
16690,410532,undecided
62984,428475,undecided
47589,589787,prysm
7539,656812,undecided
35280,578102,undecided
1981,498405,lighthouse
30748,606760,undecided
62448,351475,undecided
71813,626159,undecided
18729,480009,prysm
47051,407046,undecided
55299,664188,undecided
14732,263018,prysm
10755,331792,undecided
60301,385833,undecided
49216,613592,prysm
46839,414869,undecided
11752,591490,undecided
45132,645459,lighthouse
43880,649341,undecided
20422,668858,lighthouse
4729,176538,undecided
35116,588551,undecided
1823,511593,lighthouse
44335,594943,undecided
7781,598832,undecided
22125,76838,undecided
1551,494806,lighthouse
37788,587674,undecided
77399,664589,undecided
50842,618749,undecided
4223,503392,lighthouse
32140,507106,undecided
2794,555733,undecided
39701,624643,undecided
45472,632290,undecided
16647,337554,undecided
32187,571619,lighthouse
373,663968,undecided
5714,356274,teku
30395,250751,undecided
23757,500567,undecided
24106,661977,undecided
64294,594277,undecided
7989,662926,undecided
33371,635794,undecided
18076,663988,undecided
14012,630891,undecided
38113,598297,undecided
29276,659491,undecided
24403,670237,undecided
4472,610459,undecided
27071,450371,prysm
4302,443953,lighthouse
59733,651821,undecided
20238,521224,prysm
7497,610092,undecided
13872,320925,undecided
10713,335052,undecided
14542,482413,prysm
7379,617167,undecided
22788,201144,prysm
33020,613051,undecided
51173,566937,undecided
492,605852,undecided
73446,583708,undecided
48164,435825,prysm
79727,666474,undecided
50111,444919,teku
63807,586326,undecided
1255,426151,lighthouse
15533,433644,undecided
28367,664414,lighthouse
7668,571126,undecided
42755,410627,undecided
81018,619779,undecided
36375,670041,undecided
26873,512158,prysm
5809,626465,teku
30090,652889,undecided
47495,605417,prysm
34365,212832,undecided
10020,66846,undecided
62172,521403,undecided
33644,661382,undecided
62270,525572,undecided
30161,641100,undecided
9737,640636,prysm
35728,594234,undecided
36820,623464,undecided
42655,501598,prysm
43806,657264,undecided
35404,509474,lighthouse
12310,166326,undecided
16556,420122,undecided
44713,450432,lighthouse
49054,635160,undecided
39317,637832,undecided
6152,634363,teku
12062,167338,undecided
30636,176365,undecided
3255,63998,undecided
18521,521015,prysm
46138,593437,undecided
59660,552898,undecided
79806,591688,undecided
8005,660657,undecided
14726,475090,prysm
24223,551955,prysm
18951,541183,undecided
51828,484929,undecided
28652,633834,undecided
48941,576732,undecided
45437,397893,lighthouse
62379,496143,undecided
4620,523284,teku
6354,652444,teku
36578,597441,undecided
45838,649018,undecided
49623,600084,teku
9710,662421,prysm
7414,650637,undecided
31936,433409,undecided
52115,635099,undecided
23711,665660,undecided
80239,548399,undecided
22113,37229,undecided
14172,485736,undecided
56934,651659,undecided
2440,593817,undecided
64154,658245,undecided
69464,585223,undecided
41729,582424,undecided
13315,591435,undecided
48515,576592,undecided
47747,651408,prysm
45218,504112,undecided
14034,615831,undecided
18927,103743,undecided
36397,422424,undecided
50993,624232,undecided
30115,571067,undecided
14098,587824,undecided
43564,552998,undecided
31040,359361,undecided
855,624976,undecided
27768,613128,prysm
31012,432364,undecided
13614,488946,undecided
42275,652093,undecided
33284,474378,undecided
2620,540918,undecided
7927,579002,undecided
13903,668600,undecided
7452,572983,undecided
35158,549825,undecided
69715,637567,undecided
47421,571685,prysm
35635,574032,undecided
3714,64519,undecided
57931,666501,undecided
31959,570748,undecided
1330,503923,lighthouse
52203,547720,lodestar
11132,67392,undecided
2828,334907,undecided
15320,322795,prysm
60308,359390,undecided
6112,537564,teku
22961,240635,prysm
13541,429012,undecided
35862,531604,undecided
52620,516232,undecided
14283,649424,undecided
63404,485898,undecided
76901,543643,undecided
67834,634976,undecided
12287,163546,undecided
25258,623528,undecided
30189,657819,undecided
7758,669973,undecided
36335,565562,undecided
17759,481734,prysm
5899,671692,teku
56730,343472,undecided
17265,292958,lighthouse
16459,125883,undecided
6113,560242,teku
70874,605778,prysm
2208,626682,undecided
4340,510129,lighthouse
64311,616727,undecided
42044,663447,undecided
57099,585872,undecided
73160,501269,undecided
27752,667333,prysm
37080,445338,undecided
4861,554385,teku
4213,500396,lighthouse
4572,531624,teku
21624,52812,prysm
23735,592088,undecided
26235,397180,undecided
41033,585418,undecided
18059,544625,undecided
1120,477383,lighthouse
42485,446258,prysm
18768,486148,undecided
5730,618452,teku
47471,604314,prysm
38623,659934,undecided
44014,629292,undecided
72194,658615,undecided
43525,555612,undecided
20080,579794,undecided
59132,586781,undecided
41215,653201,undecided
42299,631729,undecided
9012,649029,nimbus
15913,609299,prysm
1272,503302,lighthouse
11001,90863,undecided
20239,498580,prysm
2389,69840,undecided
7335,594688,undecided
6365,591974,teku
77202,631367,undecided
33526,670687,undecided
41626,653940,undecided
41771,640254,undecided
18057,565131,undecided
55122,392281,undecided
27392,652519,prysm
68268,643698,prysm
20324,424904,prysm
22979,378099,teku
6194,622490,teku
36770,578922,undecided
14373,590031,undecided
33964,662494,undecided
31474,583900,prysm
61214,490122,undecided
8205,663014,nimbus
19373,519936,prysm
2472,597097,undecided
62113,454135,undecided
22929,342047,undecided
47921,606833,prysm
16611,452799,prysm
6073,671561,teku
6576,623159,teku
23957,604416,undecided
68224,591933,prysm
11568,97993,undecided
39597,656210,undecided
65788,637835,undecided
13514,479112,undecided
29767,584944,undecided
37548,613087,undecided
17978,432324,prysm
14400,429795,undecided
5436,475734,undecided
19538,651762,prysm
3276,41368,undecided
46874,396045,undecided
48625,648946,undecided
76049,641889,undecided
39586,592868,prysm
38104,513644,undecided
28657,489177,undecided
66156,587195,undecided
29862,606319,lighthouse
72322,576525,undecided
23106,621986,lighthouse
77291,571352,undecided
48474,598292,undecided
13564,596893,lighthouse
45980,554267,undecided
54600,526418,undecided
5528,661598,teku
19832,659876,prysm
65787,619459,undecided
24992,656510,undecided
12437,630343,prysm
28174,669003,prysm
10872,671040,lighthouse
37051,661916,undecided
31793,660566,undecided
27842,571618,prysm
20441,461755,prysm
20410,513953,teku
214,618634,undecided
422,611980,undecided
39501,575508,prysm
8052,649817,undecided
35704,621822,undecided
21609,251695,prysm
41740,571458,undecided
35216,605624,undecided
48447,666640,undecided
35176,416872,lighthouse
80990,642352,undecided
40686,648644,undecided
39276,659502,undecided
50534,606472,lighthouse
23818,605826,undecided
23774,659612,undecided
727,495415,undecided
7519,668759,undecided
2800,58564,undecided
8129,613339,undecided
21557,636092,undecided
